Date : 2024-02-04 19:23:10
Directory : c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src
Total : 257 files,  5557 codes, 24 comments, 627 blanks, all 6208 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\app\favicon.svg                                                        | XML            |          8 |          0 |          1 |          9 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\app\globals.scss                                                       | SCSS           |         33 |          0 |          6 |         39 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\app\layout.tsx                                                         | TypeScript JSX |         15 |          0 |          3 |         18 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\app\page.tsx                                                           | TypeScript JSX |          5 |          0 |          3 |          8 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\authForm-slice\formHelpers\index.ts                           | TypeScript     |          1 |          0 |          0 |          1 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\authForm-slice\formHelpers\ui\ui.module.scss                  | SCSS           |         21 |          0 |          3 |         24 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\authForm-slice\formHelpers\ui\ui.tsx                          | TypeScript JSX |         20 |          0 |          1 |         21 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\authForm-slice\formInputs\index.ts                            | TypeScript     |          1 |          0 |          0 |          1 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\authForm-slice\formInputs\ui\ui.module.scss                   | SCSS           |          7 |          0 |          0 |          7 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\authForm-slice\formInputs\ui\ui.tsx                           | TypeScript JSX |         47 |          0 |          6 |         53 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\buttons\approve\api\index.ts                   | TypeScript     |         10 |          0 |          1 |         11 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\buttons\approve\index.ts                       | TypeScript     |          1 |          0 |          1 |          2 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\buttons\approve\ui\ui.module.scss              | SCSS           |          0 |          0 |          1 |          1 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\buttons\approve\ui\ui.tsx                      | TypeScript JSX |         45 |          0 |          6 |         51 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\buttons\change\index.ts                        | TypeScript     |          1 |          0 |          1 |          2 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\buttons\change\ui\ui.module.scss               | SCSS           |          0 |          0 |          1 |          1 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\buttons\change\ui\ui.tsx                       | TypeScript JSX |         24 |          0 |          4 |         28 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\buttons\coment\index.ts                        | TypeScript     |          1 |          0 |          1 |          2 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\buttons\coment\ui\ui.tsx                       | TypeScript JSX |         29 |          0 |          4 |         33 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\buttons\delete\index.ts                        | TypeScript     |          1 |          0 |          1 |          2 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\buttons\delete\modal\index.ts                  | TypeScript     |          1 |          0 |          1 |          2 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\buttons\delete\modal\ui\ui.module.scss         | SCSS           |         25 |          0 |          2 |         27 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\buttons\delete\modal\ui\ui.tsx                 | TypeScript JSX |         65 |          0 |          3 |         68 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\buttons\delete\ui\ui.module.scss               | SCSS           |          0 |          0 |          1 |          1 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\buttons\delete\ui\ui.tsx                       | TypeScript JSX |         28 |          0 |          4 |         32 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\buttons\download\api\index.ts                  | TypeScript     |         10 |          0 |          2 |         12 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\buttons\download\index.ts                      | TypeScript     |          1 |          0 |          1 |          2 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\buttons\download\ui\ui.module.scss             | SCSS           |          0 |          0 |          1 |          1 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\buttons\download\ui\ui.tsx                     | TypeScript JSX |         41 |          0 |          6 |         47 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\flowDocumentItem\date\index.ts                 | TypeScript     |          1 |          0 |          1 |          2 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\flowDocumentItem\date\ui\ui.module.scss        | SCSS           |         26 |          0 |          3 |         29 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\flowDocumentItem\date\ui\ui.tsx                | TypeScript JSX |         25 |          0 |          2 |         27 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\flowDocumentItem\title\index.ts                | TypeScript     |          1 |          0 |          1 |          2 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\flowDocumentItem\title\ui\ui.module.scss       | SCSS           |          7 |          0 |          1 |          8 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\flowDocumentItem\title\ui\ui.tsx               | TypeScript JSX |         10 |          0 |          6 |         16 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\flowGraphDate\index.ts                         | TypeScript     |          1 |          0 |          1 |          2 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\flowGraphDate\ui\ui.module.scss                | SCSS           |          8 |          0 |          1 |          9 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\flowGraphDate\ui\ui.tsx                        | TypeScript JSX |         14 |          0 |          1 |         15 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\flowGraphTitle\index.ts                        | TypeScript     |          1 |          0 |          1 |          2 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\flowGraphTitle\model\index.ts                  | TypeScript     |         41 |          0 |          5 |         46 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\flowGraphTitle\ui\ui.module.scss               | SCSS           |         17 |          0 |          1 |         18 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\flowGraphTitle\ui\ui.tsx                       | TypeScript JSX |         28 |          0 |          4 |         32 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\header-slice\api\index.ts                                     | TypeScript     |         10 |          0 |          2 |         12 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\header-slice\data\items.ts                                    | TypeScript     |         30 |          1 |          3 |         34 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\header-slice\header\index.ts                                  | TypeScript     |          1 |          0 |          1 |          2 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\header-slice\header\ui\ui.module.scss                         | SCSS           |         24 |          0 |          3 |         27 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\header-slice\header\ui\ui.tsx                                 | TypeScript JSX |         66 |          0 |          5 |         71 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\header-slice\sideHeader\index.ts                              | TypeScript     |          1 |          0 |          1 |          2 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\header-slice\sideHeader\ui\ui.module.scss                     | SCSS           |         28 |          0 |          7 |         35 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\header-slice\sideHeader\ui\ui.tsx                             | TypeScript JSX |         44 |          0 |          4 |         48 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\news-slice\article\api\index.ts                               | TypeScript     |         10 |          0 |          2 |         12 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\news-slice\article\index.ts                                   | TypeScript     |          1 |          0 |          0 |          1 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\news-slice\article\ui\ui.module.scss                          | SCSS           |         49 |          0 |         10 |         59 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\news-slice\article\ui\ui.tsx                                  | TypeScript JSX |         33 |          0 |          2 |         35 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\profile-slice\achievementItem\index.ts                        | TypeScript     |          1 |          0 |          0 |          1 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\profile-slice\achievementItem\ui\ui.module.scss               | SCSS           |         16 |          0 |          0 |         16 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\profile-slice\achievementItem\ui\ui.tsx                       | TypeScript JSX |         16 |          0 |          1 |         17 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\profile-slice\achievementProgressBar\index.ts                 | TypeScript     |          1 |          0 |          0 |          1 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\profile-slice\achievementProgressBar\ui\ui.module.scss        | SCSS           |          0 |          0 |          1 |          1 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\profile-slice\achievementProgressBar\ui\ui.tsx                | TypeScript JSX |         30 |          0 |          1 |         31 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\profile-slice\userLogo\index.ts                               | TypeScript     |          1 |          0 |          0 |          1 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\profile-slice\userLogo\ui\ui.module.scss                      | SCSS           |          0 |          0 |          1 |          1 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\profile-slice\userLogo\ui\ui.tsx                              | TypeScript JSX |          5 |          0 |          2 |          7 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\authForm-slice\authForm\api\index.tsx                         | TypeScript JSX |         20 |          0 |          2 |         22 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\authForm-slice\authForm\index.ts                              | TypeScript     |          1 |          0 |          0 |          1 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\authForm-slice\authForm\ui\ui.module.scss                     | SCSS           |         34 |          0 |          3 |         37 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\authForm-slice\authForm\ui\ui.tsx                             | TypeScript JSX |        105 |          0 |          7 |        112 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\flowView-slice\flowDocumentView\api\index.ts                  | TypeScript     |         19 |          0 |          3 |         22 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\flowView-slice\flowDocumentView\index.ts                      | TypeScript     |          1 |          0 |          1 |          2 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\flowView-slice\flowDocumentView\ui\ui.module.scss             | SCSS           |         43 |          0 |          6 |         49 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\flowView-slice\flowDocumentView\ui\ui.tsx                     | TypeScript JSX |         64 |          0 |          5 |         69 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\flowView-slice\flowHistoryGraph\index.ts                      | TypeScript     |          1 |          0 |          1 |          2 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\flowView-slice\flowHistoryGraph\model\index.ts                | TypeScript     |         13 |          0 |          2 |         15 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\flowView-slice\flowHistoryGraph\ui\ui.module.scss             | SCSS           |          6 |          0 |          1 |          7 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\flowView-slice\flowHistoryGraph\ui\ui.tsx                     | TypeScript JSX |         60 |          0 |          7 |         67 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\flowView-slice\flowManagement\api\index.ts                    | TypeScript     |         10 |          0 |          2 |         12 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\flowView-slice\flowManagement\index.ts                        | TypeScript     |          1 |          0 |          1 |          2 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\flowView-slice\flowManagement\ui\ui.module.scss               | SCSS           |          5 |          0 |          1 |          6 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\flowView-slice\flowManagement\ui\ui.tsx                       | TypeScript JSX |         51 |          0 |          5 |         56 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\flowsTable-slice\flowsTable\approveModal\index.ts             | TypeScript     |          1 |          0 |          0 |          1 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\flowsTable-slice\flowsTable\approveModal\ui\ui.module.scss    | SCSS           |         13 |          0 |          2 |         15 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\flowsTable-slice\flowsTable\approveModal\ui\ui.tsx            | TypeScript JSX |        156 |          1 |         12 |        169 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\flowsTable-slice\flowsTable\index.ts                          | TypeScript     |          1 |          0 |          1 |          2 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\flowsTable-slice\flowsTable\ui\ui.module.scss                 | SCSS           |         73 |          0 |          5 |         78 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\flowsTable-slice\flowsTable\ui\ui.tsx                         | TypeScript JSX |        100 |          0 |          4 |        104 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\generateFuncTaskView-slice\funcTaskDoc\index.ts               | TypeScript     |          1 |          0 |          0 |          1 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\generateFuncTaskView-slice\funcTaskDoc\ui\ui.module.scss      | SCSS           |         11 |          0 |          1 |         12 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\generateFuncTaskView-slice\funcTaskDoc\ui\ui.tsx              | TypeScript JSX |         21 |          0 |          2 |         23 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\news-slice\articles\api\index.ts                              | TypeScript     |         21 |          0 |          4 |         25 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\news-slice\articles\index.ts                                  | TypeScript     |          1 |          0 |          0 |          1 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\news-slice\articles\ui\ui.module.scss                         | SCSS           |         14 |          0 |          1 |         15 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\news-slice\articles\ui\ui.tsx                                 | TypeScript JSX |         43 |          0 |          6 |         49 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\profile-slice\achievementCard\index.ts                        | TypeScript     |          0 |          0 |          1 |          1 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\profile-slice\achievementCard\ui\ui.module.scss               | SCSS           |          0 |          0 |          1 |          1 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\profile-slice\achievementCard\ui\ui.tsx                       | TypeScript JSX |         56 |          0 |          3 |         59 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\ratingTable-slice\rating\api\index.ts                         | TypeScript     |         21 |          0 |          2 |         23 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\ratingTable-slice\rating\index.ts                             | TypeScript     |          1 |          0 |          0 |          1 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\ratingTable-slice\rating\ratingIcons\index.tsx                | TypeScript JSX |         63 |          0 |          8 |         71 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\ratingTable-slice\rating\ui\ui.module.scss                    | SCSS           |         82 |          0 |         16 |         98 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\ratingTable-slice\rating\ui\ui.tsx                            | TypeScript JSX |         86 |          0 |          4 |         90 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\flows\archive\api\index.ts                                     | TypeScript     |         22 |          0 |          4 |         26 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\flows\archive\index.ts                                         | TypeScript     |          1 |          0 |          1 |          2 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\flows\archive\ui\ui.module.scss                                | SCSS           |          0 |          0 |          1 |          1 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\flows\archive\ui\ui.tsx                                        | TypeScript JSX |         58 |          0 |          6 |         64 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\flows\choice\index.ts                                          | TypeScript     |          0 |          0 |          1 |          1 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\flows\choice\ui\ui.module.scss                                 | SCSS           |          0 |          0 |          1 |          1 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\flows\choice\ui\ui.tsx                                         | TypeScript JSX |          8 |          0 |          1 |          9 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\flows\create\full\index.ts                                     | TypeScript     |          1 |          0 |          1 |          2 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\flows\create\full\ui\ui.module.scss                            | SCSS           |          6 |          0 |          1 |          7 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\flows\create\full\ui\ui.tsx                                    | TypeScript JSX |         13 |          0 |          3 |         16 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\flows\create\small\index.ts                                    | TypeScript     |          1 |          0 |          0 |          1 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\flows\create\small\ui\ui.module.scss                           | SCSS           |          6 |          0 |          0 |          6 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\flows\create\small\ui\ui.tsx                                   | TypeScript JSX |         13 |          0 |          3 |         16 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\flows\my\api\index.ts                                          | TypeScript     |         22 |          0 |          4 |         26 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\flows\my\index.ts                                              | TypeScript     |          1 |          0 |          1 |          2 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\flows\my\ui\ui.module.scss                                     | SCSS           |          0 |          0 |          1 |          1 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\flows\my\ui\ui.tsx                                             | TypeScript JSX |         58 |          0 |          5 |         63 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\flows\view\index.ts                                            | TypeScript     |          1 |          0 |          1 |          2 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\flows\view\ui\ui.module.scss                                   | SCSS           |          5 |          0 |          1 |          6 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\flows\view\ui\ui.tsx                                           | TypeScript JSX |         13 |          0 |          2 |         15 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\layouts\desktop\index.ts                                       | TypeScript     |          1 |          0 |          1 |          2 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\layouts\desktop\ui\ui.module.scss                              | SCSS           |          9 |          0 |          3 |         12 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\layouts\desktop\ui\ui.tsx                                      | TypeScript JSX |         74 |          0 |          3 |         77 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\layouts\mobile\index.ts                                        | TypeScript     |          1 |          0 |          1 |          2 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\layouts\mobile\ui\ui.module.scss                               | SCSS           |         11 |          0 |          2 |         13 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\layouts\mobile\ui\ui.tsx                                       | TypeScript JSX |         44 |          0 |          4 |         48 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\news\view\index.ts                                             | TypeScript     |          1 |          0 |          0 |          1 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\news\view\ui\ui.module.scss                                    | SCSS           |          7 |          0 |          0 |          7 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\news\view\ui\ui.tsx                                            | TypeScript JSX |         11 |          0 |          3 |         14 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\postView\index.ts                                              | TypeScript     |          1 |          0 |          1 |          2 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\postView\ui\ui.module.scss                                     | SCSS           |          5 |          0 |          1 |          6 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\postView\ui\ui.tsx                                             | TypeScript JSX |         13 |          0 |          2 |         15 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\profile\api\index.ts                                           | TypeScript     |         10 |          0 |          2 |         12 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\profile\index.ts                                               | TypeScript     |          1 |          0 |          0 |          1 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\profile\ui\ui.tsx                                              | TypeScript JSX |         36 |          0 |          4 |         40 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\rating\index.ts                                                | TypeScript     |          1 |          0 |          0 |          1 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\rating\ui\ui.module.scss                                       | SCSS           |          6 |          0 |          0 |          6 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\rating\ui\ui.tsx                                               | TypeScript JSX |         11 |          0 |          3 |         14 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\shared\api\axios-config\index.ts                                       | TypeScript     |         12 |          0 |          4 |         16 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\shared\hooks\useWindowSize\index.ts                                    | TypeScript     |         24 |          0 |          4 |         28 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\shared\interface\achievement.ts                                        | TypeScript     |         13 |          0 |          2 |         15 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\shared\interface\auth.ts                                               | TypeScript     |         23 |          0 |          4 |         27 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\shared\interface\company.ts                                            | TypeScript     |          4 |          0 |          0 |          4 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\shared\interface\flow.ts                                               | TypeScript     |         30 |          0 |          3 |         33 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\shared\interface\flowHistoryGraph.ts                                   | TypeScript     |         16 |          0 |          3 |         19 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\shared\interface\flowsCreateForm.ts                                    | TypeScript     |         13 |          0 |          1 |         14 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\shared\interface\header.ts                                             | TypeScript     |          7 |          0 |          1 |          8 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\shared\interface\post.ts                                               | TypeScript     |          9 |          0 |          1 |         10 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\shared\interface\user.ts                                               | TypeScript     |         33 |          1 |          5 |         39 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\shared\lib\auth\auth-token.ts                                          | TypeScript     |         14 |          0 |          4 |         18 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\shared\lib\auth\private-route.tsx                                      | TypeScript JSX |         17 |          1 |          7 |         25 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\shared\lib\auth\setCookie.ts                                           | TypeScript     |         29 |          0 |          0 |         29 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\shared\lib\parse\date.ts                                               | TypeScript     |         13 |          2 |          4 |         19 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\shared\lib\parse\firstLetter.ts                                        | TypeScript     |          6 |          0 |          1 |          7 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\shared\lib\parse\flowGraph.tsx                                         | TypeScript JSX |         35 |          0 |          8 |         43 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\shared\lib\parse\post.ts                                               | TypeScript     |          5 |          0 |          1 |          6 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\shared\lib\parse\time.ts                                               | TypeScript     |          4 |          1 |          2 |          7 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\shared\lib\parse\user.ts                                               | TypeScript     |         33 |          0 |         13 |         46 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\shared\ui\flowView-slice\flowGraphIcon\index.ts                        | TypeScript     |          1 |          0 |          1 |          2 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\shared\ui\flowView-slice\flowGraphIcon\ui\ui.module.scss               | SCSS           |         22 |          0 |          4 |         26 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\shared\ui\flowView-slice\flowGraphIcon\ui\ui.tsx                       | TypeScript JSX |         27 |          0 |          1 |         28 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\shared\ui\flowsTable-slice\flowStatus\index.ts                         | TypeScript     |          1 |          0 |          1 |          2 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\shared\ui\flowsTable-slice\flowStatus\model\index.ts                   | TypeScript     |         50 |          0 |          5 |         55 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\shared\ui\flowsTable-slice\flowStatus\ui\ui.module.scss                | SCSS           |         38 |          0 |          2 |         40 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\shared\ui\flowsTable-slice\flowStatus\ui\ui.tsx                        | TypeScript JSX |         30 |          0 |          4 |         34 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\shared\ui\header-slice\burgerButton\index.ts                           | TypeScript     |          1 |          0 |          1 |          2 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\shared\ui\header-slice\burgerButton\ui\ui.module.scss                  | SCSS           |         33 |          0 |          2 |         35 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\shared\ui\header-slice\burgerButton\ui\ui.tsx                          | TypeScript JSX |         32 |          0 |          2 |         34 |
